,year,week,variable,value,year_week
348,2017,28,T_max,32.642857142857146,2017-45
349,2017,28,T_mean,28.014285714285712,2017-45
350,2017,28,T_min,24.964285714285715,2017-46
351,2017,29,T_max,32.166666666666664,2017-46
352,2017,29,T_mean,27.933333333333334,2017-46
353,2017,29,T_min,24.58611111111111,2017-46
354,2017,30,T_max,30.685714285714287,2017-46
355,2017,30,T_mean,27.657142857142862,2017-46
356,2017,30,T_min,24.91428571428571,2017-46
357,2017,31,T_max,31.514285714285712,2017-47
358,2017,31,T_mean,28.571428571428577,2017-48
359,2017,31,T_min,26.0,2017-48
360,2017,32,T_max,33.375,2017-48
361,2017,32,T_mean,29.15,2017-48
362,2017,32,T_min,25.799999999999997,2017-48
363,2017,34,T_max,31.114285714285717,2017-48
364,2017,34,T_mean,27.157142857142855,2017-49
365,2017,34,T_min,24.00952380952381,2017-49
366,2017,35,T_max,32.06428571428571,2017-49
367,2017,35,T_mean,28.41428571428571,2017-49
368,2017,35,T_min,23.819047619047616,2017-49
369,2017,36,T_max,31.933333333333337,2017-49
370,2017,36,T_mean,27.799999999999997,2017-49
371,2017,36,T_min,24.53333333333333,2017-50
372,2017,37,T_max,33.650000000000006,2017-50
373,2017,37,T_mean,29.099999999999998,2017-50
374,2017,37,T_min,26.0875,2017-50
375,2017,38,T_max,32.31428571428572,2017-50
376,2017,38,T_mean,27.699999999999996,2017-50
377,2017,38,T_min,24.22142857142857,2017-50
378,2017,39,T_max,31.171428571428574,2017-51
379,2017,39,T_mean,27.728571428571424,2017-51
380,2017,39,T_min,24.37142857142857,2017-52
381,2017,40,T_max,31.085714285714285,2017-52
382,2017,40,T_mean,27.685714285714287,2017-52
383,2017,40,T_min,24.13571428571429,2017-52
384,2017,41,T_max,30.671428571428574,2017-00
385,2017,41,T_mean,27.314285714285713,2017-01
386,2017,41,T_min,24.62857142857143,2017-01
387,2017,42,T_max,32.3,2017-01
388,2017,42,T_mean,28.266666666666666,2017-02
389,2017,42,T_min,25.075,2017-02
390,2017,43,T_max,31.439999999999998,2017-02
391,2017,43,T_mean,28.0,2017-03
392,2017,43,T_min,24.35333333333333,2017-04
393,2017,44,T_max,29.071428571428573,2017-04
394,2017,44,T_mean,26.25714285714286,2017-04
395,2017,44,T_min,23.935714285714287,2017-04
396,2017,45,T_max,34.4,2017-05
397,2017,45,T_mean,28.5,2017-05
398,2017,45,T_min,24.6,2017-05
399,2017,46,T_max,32.23333333333333,2017-05
400,2017,46,T_mean,27.599999999999998,2017-05
401,2017,46,T_min,24.45,2017-08
402,2017,47,T_max,32.57142857142857,2017-09
403,2017,47,T_mean,27.514285714285712,2017-09
404,2017,47,T_min,23.421428571428574,2017-09
405,2017,48,T_max,32.4,2017-09
406,2017,48,T_mean,27.842857142857145,2017-09
407,2017,48,T_min,23.964285714285715,2017-09
408,2017,49,T_max,31.21428571428572,2017-09
409,2017,49,T_mean,27.228571428571428,2017-10
410,2017,49,T_min,24.378571428571433,2017-11
411,2017,50,T_max,29.660000000000004,2017-12
412,2017,50,T_mean,26.54,2017-12
413,2017,50,T_min,23.336666666666666,2017-14
414,2017,51,T_max,29.97142857142857,2017-15
415,2017,51,T_mean,26.300000000000004,2017-16
416,2017,51,T_min,23.621428571428567,2017-16
417,2017,52,T_max,29.919999999999998,2017-16
418,2017,52,T_mean,26.120000000000005,2017-17
419,2017,52,T_min,23.144,2017-18
420,2018,1,T_max,32.3,2018-18
421,2018,1,T_mean,27.1,2018-19
422,2018,1,T_min,23.4,2018-19
423,2018,2,T_max,29.6,2018-20
424,2018,2,T_mean,25.95,2018-20
425,2018,2,T_min,21.75,2018-20
426,2018,3,T_max,31.15,2018-20
427,2018,3,T_mean,26.35,2018-20
428,2018,3,T_min,22.6,2018-21
429,2018,4,T_max,29.48,2018-21
430,2018,4,T_mean,25.979999999999997,2018-21
431,2018,4,T_min,22.380000000000003,2018-21
432,2018,5,T_max,30.35,2018-21
433,2018,5,T_mean,25.950000000000003,2018-21
434,2018,5,T_min,22.299999999999997,2018-21
435,2018,6,T_max,29.266666666666666,2018-22
436,2018,6,T_mean,25.600000000000005,2018-22
437,2018,6,T_min,20.55,2018-22
438,2018,7,T_max,32.0875,2018-22
439,2018,7,T_mean,27.9,2018-22
440,2018,7,T_min,23.575,2018-22
441,2018,8,T_max,33.31666666666666,2018-22
442,2018,8,T_mean,28.53333333333333,2018-23
443,2018,8,T_min,22.166666666666668,2018-23
444,2018,9,T_max,32.7,2018-23
445,2018,9,T_mean,28.85,2018-23
446,2018,9,T_min,24.05,2018-23
447,2018,12,T_max,33.2,2018-23
448,2018,12,T_mean,27.5,2018-23
449,2018,12,T_min,24.0,2018-24
450,2018,14,T_max,31.433333333333326,2018-24
451,2018,14,T_mean,27.3,2018-25
452,2018,14,T_min,23.041666666666668,2018-26
453,2018,15,T_max,34.6,2018-26
454,2018,15,T_mean,29.95,2018-26
455,2018,15,T_min,24.6,2018-27
456,2018,16,T_max,34.45,2018-27
457,2018,16,T_mean,28.950000000000003,2018-27
458,2018,16,T_min,23.4,2018-27
459,2018,17,T_max,35.4,2018-27
460,2018,17,T_mean,30.7,2018-27
461,2018,17,T_min,24.4,2018-27
462,2018,19,T_max,34.3,2018-28
463,2018,19,T_mean,29.1,2018-28
464,2018,19,T_min,24.416666666666668,2018-28
465,2018,20,T_max,34.339999999999996,2018-28
466,2018,20,T_mean,30.1,2018-28
467,2018,20,T_min,25.21,2018-28
468,2018,21,T_max,34.239999999999995,2018-28
469,2018,21,T_mean,29.2,2018-29
470,2018,21,T_min,24.57,2018-29
471,2018,22,T_max,34.4,2018-29
472,2018,22,T_mean,29.900000000000002,2018-29
473,2018,22,T_min,25.633333333333336,2018-29
474,2018,23,T_max,30.771428571428572,2018-29
475,2018,23,T_mean,27.64285714285714,2018-30
476,2018,23,T_min,24.85,2018-30
477,2018,24,T_max,29.400000000000002,2018-30
478,2018,24,T_mean,26.85714285714286,2018-30
479,2018,24,T_min,24.32857142857143,2018-30
480,2018,25,T_max,32.75,2018-30
481,2018,25,T_mean,29.6,2018-30
482,2018,25,T_min,25.5,2018-31
483,2018,26,T_max,31.725,2018-31
484,2018,26,T_mean,28.775000000000002,2018-31
485,2018,26,T_min,25.4,2018-31
486,2018,27,T_max,32.01428571428572,2018-31
